INDONESIA,ZUFRASI,,KAMUS INDONESIA - ZUFRASI,,
aba,makhsya,,Ketik kata IND,:,abad
abad,pawa,,Arti kata ZUF,:,pawa
abadi,anasyi,,,,
abai,anaz,,,,
acu,sakhsya,,,,
ada,asya,,,,
adalah,asyasa,,,,
adat,asyam,,,,
adil,hemaka,,,,
agar,hujaza,,,,
agung,wusiza,,,,
air,ahr-razik,,,,
ajar,agak,,,,
akal,khasang,,,,
akan,angakh,,,,
akhir,hesehazi,,,,
akibat,syawja,,,,
alam,ahr-asa,,,,
amal,nusyi,,,,
amar,jikhma,,,,
anak,ahl-nekhi,,,,
ancam,jangha,,,,
anda,akhsya,,,,
angin,ahr-usyaka,,,,
angkasa,ahr-sadim,,,,
angkat,naba,,,,
angkut,naba,,,,
antara,akhmaka,,,,
anugerah,nyasyiza,,,,
api,ahr-naka,,,,
arah,jisi,,,,
arif,aki,,,,
arsip,narala,,,,
asah,aha,,,,
asal,syaki,,,,
asmara,rikhma,,,,
asuh,agak,,,,
atas,ama,,,,
atau,amabu,,,,
atraktif,sekha,,,,
atur,amuk,,,,
awal,wusa,,,,
ayah,aza,,,,
azab,syawja,,,,
babat,mena,,,,
baca,nara,,,,
bagi,naci,,,,
bagian,naciza,,,,
bahasa,nanyaha,,,,
baik,aki,,,,
bak,hekuja,,,,
bala,nasa,,,,
balas,nasa,,,,
bangkit,nadu,,,,
bangsa,nadha,,,,
bangun,nadu,,,,
bantah,nakhma,,,,
bantu,gaha,,,,
banyak,nakha,,,,
bapak,aza,,,,
bara,ahr-naka,,,,
barang,nekhsya,,,,
bareng,syakh,,,,
barter,cakhmi,,,,
baru,tu,,,,
batas,ruwa,,,,
baur,amu,,,,
bawa,naba,,,,
bayar,nasa,,,,
beban,waha,,,,
beda,nesya,,,,
belum,jeka,,,,
benar,hegami,,,,
benci,nekhri,,,,
benda,nekhsya,,,,
benih,ahr-mukha,,,,
bening,huri,,,,
bentuk,nekhsya,,,,
berahi,wabu,,,,
berat,waha,,,,
beri,naci,,,,
berkah,nyasyiza,,,,
berlalu,husya,,,,
bersama,syakh,,,,
bersih,huri,,,,
bersit,ngega,,,,
betina,bakhima,,,,
betul,hegami,,,,
bibit,ahr-mukha,,,,
bijak,aki,,,,
bijaksana,aki,,,,
biji,ahr-mukha,,,,
bikin,rijma,,,,
bimbing,jakhsyu,,,,
binar,ahr-reka,,,,
binasa,juha,,,,
binatang,ahl-yabukha,,,,
birahi,cazika,,,,
bisa,niha,,,,
bobot,waha,,,,
bocah,ahl-nekhi,,,,
bodoh,syudu,,,,
bohong,syuhma,,,,
bopong,gukhgu,,,,
buai,sekha,,,,
buang,nyisa,,,,
buat,rijma,,,,
budi,nusyi,,,,
buka,musu,,,,
bukan,mang,,,,
bulan,ahr-nusakh,,,,
bulus,miju,,,,
bumi,ahr-makha,,,,
bunuh,wami,,,,
bunyi,hubaka,,,,
buruk,resa,,,,
burung,ahl-nekwa,,,,
buta,numa,,,,
butuh,numu,,,,
caci,waka,,,,
cahaya,ahr-reka,,,,
cair,ahr-razik,,,,
campak,anaz,,,,
campur,amu,,,,
cela,resa,,,,
celah,akhmaka,,,,
celaka,khanya,,,,
cenayang,kawas,,,,
cengkeram,hekhmu,,,,
cerah,ahr-reka,,,,
cerca,waka,,,,
cerita,kihasa,,,,
cikal,ahr-mukha,,,,
cinta,rikhma,,,,
cipta,rijma,,,,
coba,rona,,,,
cuaca,wuhi,,,,
cuma,ruwa,,,,
dahulu,hisa,,,,
dalam,syasa,,,,
dalih,nyasi,,,,
dampak,syawja,,,,
dan,syakh,,,,
dapat,niha,,,,
darat,sakhsya,,,,
dari,syaki,,,,
dasar,sakhsya,,,,
datang,miwa,,,,
daya,syaza,,,,
demi,jasya,,,,
dengan,syakh,,,,
dengar,madnga,,,,
dengki,nekhri,,,,
derajat,hemamu,,,,
desak,jangha,,,,
di,syi,,,,
dia,syiza,,,,
diri,haza,,,,
dirimu,akhsya,,,,
dongeng,kihasa,,,,
doyan,syozakh,,,,
duduk,him,,,,
dulu,hisa,,,,
dungu,syudu,,,,
dunia,ahr-asa,,,,
dusta,syuhma,,,,
engkau,akhsya,,,,
era,pawa,,,,
fajar,hizad,,,,
fauna,ahl-yabukha,,,,
fitnah,yimkha,,,,
gadai,cakhmi,,,,
gairah,cazika,,,,
gampang,wusya,,,,
ganjar,nasa,,,,
ganti,cakhmi,,,,
garba,bakhima,,,,
gejala,cegasa,,,,
gelap,cesa,,,,
gelombang,cemaka,,,,
gemar,syozakh,,,,
genggam,niha,,,,
gerak,gasakh,,,,
geram ,waka,,,,
gerinda,aha,,,,
gerombol,kawaz,,,,
geser,mekhahina,,,,
getar,cemaka,,,,
goblok,syudu,,,,
golong,nadha,,,,
gubah,ose,,,,
gunung,cukhu,,,,
habis,juha,,,,
hadiah,nyasyiza,,,,
hadir,miwa,,,,
hak,juta,,,,
hakikat,ikhmi,,,,
hakiki,hegami,,,,
halus,hoym,,,,
hambat,mumus,,,,
hancur,juha,,,,
hanya,ruwa,,,,
hari,hizad,,,,
harkat,hemamu,,,,
harta,nekhsya,,,,
harus,bagin,,,,
hasrat,wabu,,,,
hasut,yimkha,,,,
hati,khizam,,,,
hendak,angakh,,,,
henti,hesehazi,,,,
